"Part";"Value";"Device";"Package";"Description";"MPN";"PROD_ID";"VALUE";
"C1";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"302010178";"CC0805KKX5R8BB106";"";"10uf";
"C2";"100nf";"CERAMIC-100NF-50V-10%-X7R(0805)";"C0805";"302010165";"CC0805KRX7R9BB104";"";"100nf";
"C3";"100nf";"CERAMIC-100NF-50V-10%-X7R(0805)";"C0805";"302010165";"CC0805KRX7R9BB104";"";"100nf";
"C4";"100nf";"CERAMIC-100NF-50V-10%-X7R(0805)";"C0805";"302010165";"CC0805KRX7R9BB104";"";"100nf";
"C5";"100pf";"CERAMIC-100PF-50V-5%-NPO(0603)";"C0603";"302010076";"CC0603JRNPO9BN101";"";"100pf";
"CN1";"";"CR2032SMT";"CR2032-SMD";"";"";"";"";
"D1";"";"SMD-RGB-LED-4P'WS2812B'";"LED4-SMD-5050";"304990003";"";"";"";
"D2";"MMSD4148-sod123";"SMD-DIODE-100V-200MA(SOD-123)";"SOD-123";"304010007";"MMSD4148";"";"MMSD4148-sod123";
"D3";"MMSD4148-sod123";"SMD-DIODE-100V-200MA(SOD-123)";"SOD-123";"304010007";"MMSD4148";"";"MMSD4148-sod123";
"J1";"2x3p-2.54";"DIP-BLACK-MALE-HEADER(2X3P-2.54ï¼‰-2.54";"H2X3-2.54";"320020077";"P125-12A1BS116A1";"";"2x3p-2.54";
"J2";"NF 3p-2.54";"DIP-BLACK-MALE-HEADER-VERT(3P-2.54)";"H3-2.54";"320020079";"";"";"3p-2.54";
"J3";"6p-2.54-90d";"DIP-BLACK-SHORT-MALE-HEADER-R/A(6P-2.54-90D)";"H6-2.54-90D-MALE";"320020019";"";"";"6p-2.54-90d";
"J4";"NF 2p-2.54";"DIP-BLACK-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020016";"P125-1102A0BS116A1";"";"2p-2.54";
"J5";"";"HEADER-2X5";"2X05";"PIN HEADER";"";"";"";
"Q1";"S8550";"SMD-TRANSISTORS-PNP-25V-500MA-S8550(SOT-23)";"SOT-23";"305020006";"S8550";"";"S8550";
"R1";"1M";"SMD-RES-1M-1%-1/10W(0603)";"R0603";"301010151";"RC0603FR-071ML";"";"1M";
"R2";"1K";"SMD-RES-1K-5%-1/8W(0805)";"R0805";"301010311";"RC0805JR-071KL";"";"1K";
"R3";"470R";"SMD-RES-470R-5%-1/10W(0603)";"R0603";"301010088";"RC0603JR-07470RL";"";"470R";
"R4";"10K";"SMD-RES-10K-1%-1/8W(0805)";"R0805";"301010361";"RC0805FR-0710KL";"";"10K";
"R5";"100R";"SMD-RES-100R-5%-1/8W(0805)";"R0805";"301010319";"RC0805JR-07100RL";"";"100R";
"SW1";"MK-12C02 G1.5";"SMD-TOGGLE-SWITCH-ON-ON(3+4P-6.7X2.7MM)";"SW7-SMD-L6.7X2.7X3.2MM";"311030001";"MK-12C02 G1.5";"";"MK-12C02 G1.5";
"U1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"";"";"IC-09069";"ATMEGA328P_TQFP";
